"(Not in XML)
Page","(Represented in XML as 3-character strings with 0's padding the left)
ID",Label,Properties,REDCap Intake Field,Data transformation,Clinical Fellow Intake Label,Data Transformation
4,75,postdoc_2_date,text (mm/yyyy),,,,
4,76,postdoc_2_title,text,,,,
4,77,postdoc_2_specialty,text,,,,
4,78,postdoc_2_institution,text,,,,
4,79,postdoc_3_date,text (mm/yyyy),,,,
4,80,postdoc_3_title,text,,,,
4,81,postdoc_3_specialty,text,,,,
4,82,postdoc_3_institution,text,,,,
4,83,postdoc_4_date,text (mm/yyyy),,,,
4,84,postdoc_4_title,text,,,,
4,85,postdoc_4_specialty,text,,,,
4,86,postdoc_4_institution,text,,,,
4,87,faculty_1_years,text (yyyy-present),,,,
4,88,faculty_1_title,text,,,,
4,89,faculty_1_department,text,,,,
4,90,faculty_1_institution,text,,,,
4,91,faculty_2_years,text (yyyy-present),,,,
4,92,faculty_2_title,text,,,,
4,93,faculty_2_department,text,,,,
4,94,faculty_2_institution,text,,,,
4,95,faculty_3_years,text (yyyy-present),,,,
4,96,faculty_3_title,text,,,,
4,97,faculty_3_department,text,,,,
4,98,faculty_3_institution,text,,,,
4,99,hospital_1_years,text (yyyy-present),"const = Year() + ""-present""",,"const = Year() + ""-present""",
4,100,hospital_1_title,text,mgh_[non]clinical_title,,calculated,"If resident, then ""Resident"", else ""Clinical Fellow"""
4,101,hospital_1_department,text (Department (Division)),calculated,"""Medicine ("" + divison_name + "")""",calculated,"""Medicine ("" + Fellowship Program + "")"""
4,102,hospital_1_institution,text,"const = ""MGH""",,"const = ""MGH""",
4,103,hospital_2_years,text (yyyy-present),,,,
4,104,hospital_2_title,text,,,,
4,105,hospital_2_department,text (Department (Division)),,,,
4,106,hospital_2_title,text,,,,
5,107,project_description,text,work_description,,formDefault,
5,108,preparer_printed_name,text,argsv,,argsv,
5,109,preparer_printed_date,text (m/d/yyyy),const = Today(),,const = Today(),
,,record_id,text,record_id,,Record ID,
